pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_transactions_1D__TimesFM-2.5__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.0655,0.0814,ML_TREE,-0.015899999999999997,-0.1953316953316953,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Toto-1.0,8,TRUE,TRUE,1.1139,1.323,ML_TREE,-0.20910000000000006,-0.15804988662131525,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Toto-1.0,8,TRUE,TRUE,1.4307,1.323,ML_TREE,0.10770000000000013,0.08140589569161008,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Toto-1.0,8,TRUE,TRUE,0.0947,0.0814,ML_TREE,0.013300000000000006,0.16339066339066347,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1M__Chronos-2__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.9426,1.5469,ML_TREE,-0.6043,-0.3906522722865085,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-2__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.2531,1.5469,ML_TREE,-0.29379999999999984,-0.18992824358394197,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-2__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.0719,0.1009,ML_TREE,-0.028999999999999998,-0.2874132804757185,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.3585,1.5469,ML_TREE,-0.1883999999999999,-0.12179197103885184,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.6365,1.5469,ML_TREE,0.08960000000000012,0.05792229620531394,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.0941,0.1009,ML_TREE,-0.0068000000000000005,-0.06739345887016848,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.39,1.5469,ML_TREE,-0.15690000000000004,-0.10142866377917127,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.611,1.5469,ML_TREE,0.06410000000000005,0.04143771413795336,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.0863,0.1009,ML_TREE,-0.014600000000000002,-0.14469772051536176,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.2438,1.5469,ML_TREE,-0.3030999999999999,-0.19594026763203823,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.4262,1.5469,ML_TREE,-0.12070000000000003,-0.07802702178550652,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.0822,0.1009,ML_TREE,-0.01870000000000001,-0.18533201189296342,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TiRex__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.0893,1.5469,ML_TREE,-0.4576,-0.2958174413342815,0.0196078431372549,LIT,102,102
