pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1w__Chronos-2__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,2.2987,2.45255,ML_TREE,-0.06478455386116425,-0.15384999999999982,-0.06273062730627299,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-2__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1289,0.13405,ML_TREE,-0.03917595473682668,-0.005150000000000016,-0.03841850055949284,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.1011,2.45255,ML_TREE,-0.1546672824965321,-0.3514499999999998,-0.14329983078836306,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4749,2.45255,ML_TREE,0.009071691554585743,0.02234999999999987,0.009112964057817322,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.158,0.13405,ML_TREE,0.16438216834499841,0.02395,0.1786646773591943,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.197,2.45255,ML_TREE,-0.11003550620692548,-0.25554999999999994,-0.10419767181097223,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.577,2.45255,ML_TREE,0.04949763206082931,0.12444999999999995,0.05074310411612401,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1555,0.13405,ML_TREE,0.14843286693732055,0.021449999999999997,0.1600149198060425,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TabPFN-TS__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1227,2.45255,ML_TREE,-0.1444394363411374,-0.32985,-0.13449267089355976,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TabPFN-TS__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.5268,2.45255,ML_TREE,0.02982538043300965,0.07425000000000015,0.03027461213838664,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
