contrast_i,contrast_j,covariance,correlation
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h28_tirex_vs_lightgbm_direct,4.076384884219997e-05,0.1591476985740085
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h7_chronos2_vs_lightgbm_cov,4.139589538737038e-05,0.41649529426748655
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,7.124182183096665e-05,0.2940155336018329
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,6.554035685553901e-05,0.8091002676703669
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,9.080229381034967e-05,0.5791728543313756
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h7_tirex_vs_lightgbm_cov,4.290141248812329e-05,0.39239547152555776
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h14_chronos2_vs_lightgbm_cov,1.8505238737035318e-06,0.0233500470870227
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h14_chronos_bolt_tiny_vs_lightgbm_cov,1.312691406447053e-06,0.012981630845735222
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h14_moirai2_vs_lightgbm_cov,1.732533176462356e-06,0.018295653892545328
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h14_timesfm25_vs_lightgbm_cov,1.347484305988272e-07,0.001495432861314989
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h14_tirex_vs_lightgbm_cov,1.7738583982153763e-06,0.021445501422811125
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h28_chronos2_vs_lightgbm_direct,-6.376698794072405e-06,-0.049606622752556014
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h28_chronos_bolt_tiny_vs_lightgbm_direct,-6.909537752296996e-06,-0.04686462505067673
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h28_moirai2_vs_lightgbm_direct,-2.3780628828050133e-06,-0.02122783959535283
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h28_timesfm25_vs_lightgbm_direct,-6.8796647157789895e-06,-0.0541663083559292
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h28_tirex_vs_lightgbm_direct,-6.872896844949266e-06,-0.04366331040278874
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h7_chronos2_vs_lightgbm_cov,5.988200865879145e-07,0.00813240035587651
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h7_chronos_bolt_tiny_vs_lightgbm_cov,-9.796060265088937e-07,-0.01159987945621038
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h7_moirai2_vs_lightgbm_cov,5.788626892535157e-07,0.007284066597116501
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h7_timesfm25_vs_lightgbm_cov,-4.4254435746092216e-07,-0.005749270748376633
Favorita_h14_moirai2_vs_lightgbm_cov,M5_h7_tirex_vs_lightgbm_cov,1.0343085777410665e-06,0.013460768484313212
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_chronos2_vs_lightgbm_cov,-2.896475473910685e-07,-0.0030139450269460097
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov,3.9627974835462277e-07,0.004471856693454567
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_moirai2_vs_lightgbm_cov,1.1417526326720714e-06,0.009939783311666213
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_timesfm25_vs_lightgbm_cov,1.4342655385486926e-06,0.011829586674605186
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_tirex_vs_lightgbm_cov,2.5381556526843503e-06,0.019225243287344145
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h28_chronos2_vs_lightgbm_cov,-1.7283005429163087e-06,-0.014287147042579272
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov,-2.0492645829940902e-06,-0.01710022359982896
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h28_moirai2_vs_lightgbm_cov,-1.3571008925944536e-06,-0.009832212744435244
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,-1.2495913838210829e-06,-0.008765030978433362
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov,-1.6343989098486647e-07,-0.0010896738130174144
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h7_chronos2_vs_lightgbm_cov,-6.253948112031679e-07,-0.006264018296741388
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,-1.9637607502855276e-07,-0.0020221345747781848
