dataset,horizon,model_name,baseline_model,n_series_paired,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high,n_boot,contrast_id
M5,14,moirai2,lightgbm_rich_tuned,100,0.30998522022307723,0.32032181987715636,-0.03280155790252432,0.008700190213931841,-0.04908440554019637,-0.01547533473532269,1000,M5_h14_moirai2_vs_lightgbm_rich_tuned
M5,14,timesfm25,lightgbm_rich_tuned,100,0.31080386184404174,0.32032181987715636,-0.030164133633469103,0.009496366569569294,-0.04684638119112392,-0.010710179314581913,1000,M5_h14_timesfm25_vs_lightgbm_rich_tuned
M5,14,tirex,lightgbm_rich_tuned,100,0.31200877947071437,0.32032181987715636,-0.026294850802603853,0.008084258378528728,-0.04192428411324445,-0.010057820845647212,1000,M5_h14_tirex_vs_lightgbm_rich_tuned
M5,28,chronos2,lightgbm_rich_tuned,100,0.3391421657214263,0.35237730995472283,-0.03828311742032183,0.011382390045409928,-0.059770976584263454,-0.015084827395366552,1000,M5_h28_chronos2_vs_lightgbm_rich_tuned
M5,28,chronos_bolt_tiny,lightgbm_rich_tuned,100,0.35979756543877894,0.35237730995472283,0.020839050263915342,0.013005490059088206,-0.002762261685090045,0.047869607450669927,1000,M5_h28_chronos_bolt_tiny_vs_lightgbm_rich_tuned
M5,28,moirai2,lightgbm_rich_tuned,100,0.32919347254727627,0.35237730995472283,-0.0680568644223073,0.011460383583861361,-0.09159398639733533,-0.04670523004462969,1000,M5_h28_moirai2_vs_lightgbm_rich_tuned
M5,28,timesfm25,lightgbm_rich_tuned,100,0.33166326864838935,0.35237730995472283,-0.06058230164367747,0.012037248341601905,-0.08169050510689667,-0.034761155009874374,1000,M5_h28_timesfm25_vs_lightgbm_rich_tuned
M5,28,tirex,lightgbm_rich_tuned,100,0.347809130073229,0.35237730995472283,-0.013048652295453114,0.013495412717223217,-0.0358764132312234,0.014916200968997546,1000,M5_h28_tirex_vs_lightgbm_rich_tuned
Rohlik,7,chronos2,lightgbm_cov,100,0.1799037172514125,0.19118415920812268,-0.060815344236078456,0.010600927513360638,-0.08180771327114619,-0.03962699660164651,1000,Rohlik_h7_chronos2_vs_lightgbm_cov
Rohlik,7,chronos_bolt_tiny,lightgbm_cov,100,0.19911850126156225,0.19118415920812268,0.040662983365653334,0.010311482985482104,0.020083824555914745,0.061698525626476285,1000,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov
Rohlik,7,moirai2,lightgbm_cov,100,0.18818163397893822,0.19118415920812268,-0.01582951325052203,0.013232191894909717,-0.04063909714909699,0.010271984518700596,1000,Rohlik_h7_moirai2_vs_lightgbm_cov
Rohlik,7,timesfm25,lightgbm_cov,100,0.18369231432275512,0.19118415920812268,-0.03997499470884735,0.01243072729425221,-0.06492438712812097,-0.015387576968846134,1000,Rohlik_h7_timesfm25_vs_lightgbm_cov
Rohlik,7,tirex,lightgbm_cov,100,0.1842260431190023,0.19118415920812268,-0.0370736490170453,0.012634334218588386,-0.06225873530635784,-0.01211977919624976,1000,Rohlik_h7_tirex_vs_lightgbm_cov
Rohlik,14,chronos2,lightgbm_cov,100,0.18483239829055736,0.1993355008800986,-0.07553987993710405,0.010204157131367835,-0.09590477029108926,-0.05547981483077073,1000,Rohlik_h14_chronos2_vs_lightgbm_cov
Rohlik,14,chronos_bolt_tiny,lightgbm_cov,100,0.20459438177112585,0.1993355008800986,0.02604005436251166,0.00940928471085784,0.006895336285350046,0.04371386716617523,1000,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov
Rohlik,14,moirai2,lightgbm_cov,100,0.1942066020012464,0.1993355008800986,-0.02606678803749736,0.012196570028806057,-0.04956388542853127,-0.001964097027616877,1000,Rohlik_h14_moirai2_vs_lightgbm_cov
Rohlik,14,timesfm25,lightgbm_cov,100,0.1899798907306786,0.1993355008800986,-0.04807111090419243,0.012873676802631922,-0.07390889523650733,-0.023061009875381625,1000,Rohlik_h14_timesfm25_vs_lightgbm_cov
Rohlik,14,tirex,lightgbm_cov,100,0.18945578219002482,0.1993355008800986,-0.05083368127583681,0.014018095562246225,-0.07839990636875577,-0.02231253701235685,1000,Rohlik_h14_tirex_vs_lightgbm_cov
Rohlik,28,chronos2,lightgbm_cov,100,0.19295358911658955,0.20880223063343942,-0.07893784997313842,0.012844475087462446,-0.105560652655253,-0.055780296717050724,1000,Rohlik_h28_chronos2_vs_lightgbm_cov
Rohlik,28,chronos_bolt_tiny,lightgbm_cov,100,0.21052294793210616,0.20880223063343942,0.008207124423371306,0.012724445149160627,-0.01619333525070779,0.03146763106485351,1000,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov
Rohlik,28,moirai2,lightgbm_cov,100,0.2017757876542183,0.20880223063343942,-0.034230420232537605,0.01465559577598303,-0.06494671215290959,-0.00815409345155383,1000,Rohlik_h28_moirai2_vs_lightgbm_cov
Rohlik,28,timesfm25,lightgbm_cov,100,0.1967367161710244,0.20880223063343942,-0.05952117032807712,0.015137605240481126,-0.09085652337442636,-0.0323399558989126,1000,Rohlik_h28_timesfm25_vs_lightgbm_cov
Rohlik,28,tirex,lightgbm_cov,100,0.19638615290643163,0.20880223063343942,-0.06130465017669584,0.015925906391592345,-0.09457652895029309,-0.031059067110674618,1000,Rohlik_h28_tirex_vs_lightgbm_cov
