run_id,panel_id,dataset,horizon,model_name,hardware,runtime_sec,wall_clock_sec,cost_usd,co2_kg,series_per_second,n_eval_origins,train_fraction,train_window_days,series_selection,model_params_json,source_run_dir
source_b_repair_fm_chronos_bolt_m5_rohlik_100,m5_top_volume_100_20260714,M5,14,chronos_bolt_tiny,M_SERIES_MAC,26.152524709701535,26.152525901794434,4.35875411828359e-05,0.0001416595088442,3.823722608429618,27,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos_bolt_m5_rohlik_100
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,14,lightgbm_cov,M_SERIES_MAC,2.5668768882751465,2.566877841949463,4.278128147125244e-06,1.3903916478157044e-05,38.957848137078585,27,0.8,365,top_volume,"{""n_estimators"": 300, ""protocol"": ""recursive""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,14,lightgbm_direct,M_SERIES_MAC,47.428723096847534,47.42872500419617,7.904787182807923e-05,0.0002569055834412,2.1084269925590036,27,0.8,365,top_volume,"{""n_estimators_per_head"": 300, ""protocol"": ""direct""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,14,lightgbm_direct_scaled,M_SERIES_MAC,74.65196108818054,74.65196299552917,0.0001244199351469,0.0004043647892276,1.3395495381812916,27,0.8,365,top_volume,"{""n_estimators_per_head"": 600, ""protocol"": ""direct_scaled""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_v1_13_tuned_lightgbm_cov_100,m5_top_volume_100_20260714,M5,14,lightgbm_tuned_cov,M_SERIES_MAC,50.99190092086792,50.99190187454224,8.498650153477987e-05,0.000276206129988,1.9610957464634549,27,0.8,365,top_volume,"{""protocol"": ""recursive_tuned"", ""selected_params"": {""colsample_bytree"": 1.0, ""learning_rate"": 0.06, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 31, ""objective"": ""tweedie"", ""random_state"": 20260737, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.2, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_cov_100
source_b_v1_13_tuned_lightgbm_direct_100,m5_top_volume_100_20260714,M5,14,lightgbm_tuned_direct,M_SERIES_MAC,718.7085151672363,718.7085180282593,0.0011978475252787,0.0038930044571558,0.1391384655804877,27,0.8,365,top_volume,"{""protocol"": ""direct_tuned"", ""selected_params"": {""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""min_child_samples"": 10, ""n_estimators"": 150, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20261730, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.4, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_repair_fm_moirai2_m5_rohlik_100,m5_top_volume_100_20260714,M5,14,moirai2,M_SERIES_MAC,11.588145971298218,11.58814811706543,1.931357661883036e-05,6.276912401119867e-05,8.629508141136837,27,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_moirai2_m5_rohlik_100
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,14,seasonal_naive,M_SERIES_MAC,0.0002257823944091,0.000227928161621,3.7630399068196613e-10,1.2229879697163902e-09,442904.3294614572,27,0.8,365,top_volume,{},source_b_repair_baselines_m5_rohlik_100_v2
source_b_v1_11_timesfm25_m5_rohlik_100_batched,m5_top_volume_100_20260714,M5,14,timesfm25,M_SERIES_MAC,380.8602521419525,380.86025500297546,0.0006347670869032,0.0020629930324355,0.2625634978646405,27,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_11_timesfm25_m5_rohlik_100_batched
source_b_v1_7_tirex_batched_m5_rohlik_100,m5_top_volume_100_20260714,M5,14,tirex,M_SERIES_MAC,239.3618431091309,239.3618440628052,0.0003989364051818,0.0012965433168411,0.4177775317112994,27,0.8,365,top_volume,"{""device"": ""cpu"", ""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_7_tirex_batched_m5_rohlik_100
