pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_transactions_1D__Chronos-2__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.0612,0.08175,ML_TREE,-0.020550000000000006,-0.2513761467889909,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.975,1.3841999999999999,ML_TREE,-0.4091999999999999,-0.2956220199393151,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.1515,1.3841999999999999,ML_TREE,-0.2326999999999999,-0.1681115445744834,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.0873,0.08175,ML_TREE,0.005549999999999999,0.06788990825688072,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.121,1.3841999999999999,ML_TREE,-0.2631999999999999,-0.19014593266868943,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.33,1.3841999999999999,ML_TREE,-0.054199999999999804,-0.039156191301834856,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.0837,0.08175,ML_TREE,0.0019499999999999934,0.02385321100917423,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.2252,1.3841999999999999,ML_TREE,-0.1589999999999998,-0.11486779367143464,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.6727,1.3841999999999999,ML_TREE,0.2885000000000002,0.20842363820257204,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.0773,0.08175,ML_TREE,-0.0044500000000000095,-0.054434250764526106,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.0314,1.3841999999999999,ML_TREE,-0.3527999999999998,-0.25487646293888155,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TiRex,7.544068044350276,TRUE,TRUE,1.3493,1.3841999999999999,ML_TREE,-0.03489999999999993,-0.025213119491402928,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.082,0.08175,ML_TREE,2.500000000000002e-4,0.003058103975535171,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TimesFM-2.5__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.8736,1.3841999999999999,ML_TREE,-0.5105999999999998,-0.36887732986562627,0.0392156862745098,LIT,51,51
