pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1m__TiRex__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.8559,2.386,ML_TREE,-0.2512485700736025,-0.5301,-0.2221709974853311,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TiRex__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.2147,2.386,ML_TREE,-0.07450136953206178,-0.1713,-0.07179379715004192,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TiRex__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1894,0.2205,ML_TREE,-0.15203651413492272,-0.03109999999999999,-0.1410430839002267,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9983,2.386,ML_TREE,-0.17732150457061804,-0.38770000000000016,-0.1624895222129087,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2338,2.386,ML_TREE,-0.06591415255113522,-0.1522000000000001,-0.0637887678122381,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.2103,0.2205,ML_TREE,-0.047362612178246666,-0.010200000000000015,-0.04625850340136061,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.0094,2.386,ML_TREE,-0.1717821536296476,-0.37660000000000027,-0.1578373847443421,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.2865,2.386,ML_TREE,-0.04259605955975147,-0.09949999999999992,-0.04170159262363785,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1978,0.2205,ML_TREE,-0.1086412756982889,-0.022699999999999998,-0.10294784580498866,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1w__Chronos-2__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,2.0241,2.4207,ML_TREE,-0.1789315972210814,-0.3966000000000003,-0.1638369066798861,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
